NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
200858.0,24724.1,420281.0,5475.799999999999,61435.6,4812.3,30109.4,2300.0,4404.1,2505.7,4648.4,2018,N 
141531.0,4392.4,85748.0,399.1,11906.3,1414.5,5900.5,801.9000000000001,1294.9,870.8,869.3000000000001,2018,P 
493380.0,22968.1,261782.0,114.1,72738.4,27842.899999999998,53754.700000000004,26295.899999999998,27494.600000000002,26513.0,1432.9,2018,Q 
143989.0,4259.9,74651.0,474.0,13610.0,1807.7,5874.7,970.3,1629.4,784.5,1621.1,2018,R 
221445.0,6369.700000000001,173755.0,299.20000000000005,16940.2,1850.7,8422.9,1034.5,1778.9,1049.8,1239.8999999999999,2018,S 
3954.0,132.32,2348.0,69.02,660.58,54.78,192.47,12.58,54.15,-1.91,92.23,2019,A 
1025.0,427.51,7154.0,204.6,2134.07,202.24,683.18,-3.1000000000000014,125.42999999999999,32.23,247.51,2019,B 
207688.0,50622.380000000005,954329.0,32934.659999999996,195127.4,13040.720000000001,66114.75,6669.08,11127.61,7568.04,8596.27,2019,C 
29062.0,366.79,5352.0,114.37,6715.71,3014.85,3442.06,830.0600000000001,2198.65,738.71,3135.7200000000003,2019,D 
10703.0,2009.1899999999998,43526.0,1099.66,9799.66,1000.05,3092.37,375.96000000000004,832.53,354.46,2373.51,2019,E 
486531.0,52387.81,972025.0,3217.63,202566.40000000002,14734.3,69065.63,10045.8,12959.2,11716.96,8793.67,2019,F 
673272.0,71278.54000000001,1364092.0,38578.28,541002.35,22227.14,97875.42,13165.04,17894.8,16607.8,10291.05,2019,G 
145328.0,16139.91,332026.0,5328.07,55618.1,3890.83,20535.04,2532.48,3370.8,2552.42,3649.2000000000003,2019,H 
264682.0,26198.0,659149.0,567.8199999999999,75953.18,4168.08,31687.47,2546.63,3493.45,295.9300000000003,9396.38,2019,I 
147175.0,21915.23,262145.0,7595.16,51415.46000000001,4427.6,26578.05,2000.3600000000001,4733.75,1181.9,2539.2200000000003,2019,J 
114679.0,7577.879999999999,78870.0,1365.7600000000002,22429.43,2367.2,10693.64,18736.97,20252.08,18182.28,2803.96,2019,K 
219130.0,7514.429999999999,115250.0,502.42,45565.96,12252.25,22281.04,10901.54,13616.69,8336.35,18408.92,2019,L 
526909.0,49997.36,593448.0,9699.82,124831.27,17326.93,69123.2,17413.63,19415.760000000002,18205.85,6407.1,2019,M 
217259.0,26077.75,435329.0,5936.860000000001,65437.96000000001,3843.54,30456.3,1021.8000000000001,3382.84,1311.45,5594.63,2019,N 
153923.0,4405.1,87766.0,335.19,12321.54,1460.3,5939.0,777.75,1291.52,864.25,981.78,2019,P 
510198.0,23652.760000000002,267317.0,155.74,75083.39,28477.69,55225.78,26687.17,27941.690000000002,27173.38,1832.92,2019,Q 
150476.0,4457.62,80037.0,538.88,14247.04,1786.86,6016.0,913.36,1626.4899999999998,717.8100000000001,1793.05,2019,R 
236833.0,6327.25,176933.0,240.9,16696.92,1980.21,8492.52,1376.74,1898.42,1396.9499999999998,1274.24,2019,S 
3954.0,168.08363636363634,3350.6363636363635,114.63818181818182,1003.0709090909091,89.84363636363635,264.8972727272727,45.07999999999999,89.365,28.562727272727273,91.82875,2020,A 
